StateUT,District,Year,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs
Andhra Pradesh,Adilabad,2001,0,1,2,0,0,0,2,0,0,13
Andhra Pradesh,Anantapur,2001,0,0,0,0,0,0,7,0,1,6
Andhra Pradesh,Chittoor,2001,0,0,0,0,0,0,2,0,0,0
Andhra Pradesh,Cuddapah,2001,0,0,0,0,0,0,2,0,2,0
Andhra Pradesh,East Godavari,2001,0,0,0,0,0,0,0,0,0,14
Andhra Pradesh,Guntakal Rly.,2001,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Guntur,2001,0,2,1,0,0,0,10,0,3,19
Andhra Pradesh,Hyderabad City,2001,0,0,0,0,0,0,0,0,0,2
Andhra Pradesh,Karimnagar,2001,0,0,0,0,0,0,15,0,0,2
Andhra Pradesh,Khammam,2001,1,4,0,0,0,0,8,0,9,20
Andhra Pradesh,Krishna,2001,0,0,1,0,0,0,6,0,24,18
Andhra Pradesh,Kurnool,2001,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Mahaboobnagar,2001,1,1,0,0,0,0,6,0,11,0
Andhra Pradesh,Medak,2001,0,1,0,0,0,1,0,0,4,3
Andhra Pradesh,Nalgonda,2001,1,4,0,0,0,0,1,0,12,0
Andhra Pradesh,Nellore,2001,1,1,0,0,0,0,3,0,11,12
Andhra Pradesh,Nizamabad,2001,0,0,0,0,0,0,1,0,0,12
Andhra Pradesh,Prakasham,2001,0,0,0,0,0,0,4,0,8,0
Andhra Pradesh,Ranga Reddy,2001,0,2,0,0,0,0,4,1,10,33
Andhra Pradesh,Secunderabad Rly.,2001,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Srikakulam,2001,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Vijayawada,2001,0,0,1,0,0,0,31,4,1,14
Andhra Pradesh,Vijayawada Rly.,2001,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Visakha Rural,2001,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Visakhapatnam,2001,0,0,0,0,0,0,0,0,2,0
Andhra Pradesh,Vizianagaram,2001,0,0,0,0,0,0,0,21,3,5
Andhra Pradesh,Warangal,2001,0,5,0,0,0,0,3,0,25,45
Andhra Pradesh,West Godavari,2001,0,0,0,0,0,0,1,0,3,2
Andhra Pradesh,Total,2001,4,21,5,0,0,1,106,26,129,220
Arunachal Pradesh,Changlang,2001,0,0,0,0,0,0,4,0,0,1
Arunachal Pradesh,Dibang Valley,2001,0,0,2,0,0,0,2,0,0,4
Arunachal Pradesh,Kameng East,2001,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng West,2001,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lohit,2001,1,0,1,0,0,0,0,0,0,6
Arunachal Pradesh,Papum Pare,2001,1,1,1,0,0,0,6,0,0,17
Arunachal Pradesh,Siang East,2001,2,2,1,0,0,0,0,0,0,4
Arunachal Pradesh,Siang Upper,2001,0,1,0,0,0,1,6,0,0,4
Arunachal Pradesh,Siang West,2001,0,1,2,0,0,0,0,0,0,0
Arunachal Pradesh,Subansiri Lower,2001,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Subansiri Upper,2001,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tawang,2001,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tirap,2001,0,0,0,0,0,0,0,0,0,1
Assam,Barpeta,2001,0,0,0,0,0,0,0,0,0,0
Assam,Bongaigaon,2001,0,0,0,0,0,0,0,0,0,0
Assam,C.I.D.,2001,0,0,0,0,0,0,0,0,0,0
Assam,Cachar,2001,0,0,0,0,0,0,0,0,0,0
Assam,Darrang,2001,0,0,0,0,0,0,0,0,0,0
Assam,Dhemaji,2001,0,0,0,0,0,0,0,0,0,0
Assam,Dhubri,2001,0,0,0,0,0,0,0,0,0,0
Assam,Dibrugarh,2001,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,2001,0,0,0,0,0,0,0,0,0,0
Assam,Goalpara,2001,0,0,0,0,0,0,0,0,0,0
Assam,Golaghat,2001,0,0,0,0,0,0,0,0,0,0
Assam,Guwahati City,2001,0,0,0,0,0,0,0,0,0,0
Assam,Hailakandi,2001,0,0,0,0,0,0,0,0,0,0
Assam,Jorhat,2001,0,0,0,0,0,0,0,0,0,0
Assam,Kamrup,2001,0,0,0,0,0,0,0,0,0,0
Assam,Karbi Anglong,2001,0,0,0,0,0,0,0,0,0,0
Assam,Karimganj,2001,0,0,0,0,0,0,0,0,0,0
Assam,Kokrajhar,2001,0,0,0,0,0,0,0,0,0,0
Assam,Lakhimpur,2001,0,0,0,0,0,0,0,0,0,0
Assam,Morigaon,2001,0,0,0,0,0,0,0,0,0,0
Assam,N.C. Hills,2001,0,0,0,0,0,0,0,0,0,0
Assam,Nagaon,2001,0,0,0,0,0,0,0,0,0,0
Assam,Nalbari,2001,0,0,0,0,0,0,0,0,0,0
Assam,R.P.O.,2001,0,0,0,0,0,0,0,0,0,0
Assam,Sibsagar,2001,0,0,0,0,0,0,0,0,0,0
Assam,Sonitpur,2001,0,0,0,0,0,0,0,0,0,0
Assam,Tinsukia,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Araria,2001,1,1,1,0,0,0,0,0,0,1
Bihar,Arwal,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Aurangabad,2001,0,0,0,0,0,0,0,0,0,9
Bihar,Bagaha,2001,0,0,0,0,0,0,0,6,0,0
Bihar,Banka,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Begusarai,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Bettiah,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Bhabhua,2001,0,0,0,0,0,0,0,0,0,3
Bihar,Bhagalpur,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Bhojpur,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Buxar,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Darbhanga,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Gaya,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Gopalganj,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Jamalpur Rly.,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Jamui,2001,0,0,0,0,0,0,2,2,0,1
Bihar,Jehanabad,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Katihar,2001,0,0,0,0,0,0,1,0,3,0
Bihar,Katihar Rly.,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Khagaria,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Kishanganj,2001,0,2,0,0,0,0,0,0,4,2
Bihar,Lakhisarai,2001,0,1,0,0,0,0,0,0,0,0
Bihar,Madhepura,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Madhubani,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Motihari,2001,0,0,0,0,0,0,0,0,0,0
Bihar,Munger,2001,0,0,0,0,0,0,0,0,0,0
