StateUT,District,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Column1
Andhra Pradesh,Adilabad,2001,50,30,16,149,34,175,0,
Andhra Pradesh,Anantapur,2001,23,30,7,118,24,154,0,
Andhra Pradesh,Chittoor,2001,27,34,14,112,83,186,0,
Andhra Pradesh,Cuddapah,2001,20,20,17,126,38,57,0,
Andhra Pradesh,East Godavari,2001,23,26,12,109,58,247,0,
Andhra Pradesh,Guntakal Rly.,2001,0,0,0,1,0,0,0,
Andhra Pradesh,Guntur,2001,54,51,7,139,129,378,0,
Andhra Pradesh,Hyderabad City,2001,37,39,24,118,27,746,0,
Andhra Pradesh,Karimnagar,2001,56,49,62,414,81,224,0,
Andhra Pradesh,Khammam,2001,47,30,17,180,336,172,0,
Andhra Pradesh,Krishna,2001,37,21,10,208,72,265,0,
Andhra Pradesh,Kurnool,2001,29,47,13,141,107,92,0,
Andhra Pradesh,Mahaboobnagar,2001,59,27,14,176,41,69,0,
Andhra Pradesh,Medak,2001,35,20,26,100,25,192,0,
Andhra Pradesh,Nalgonda,2001,35,19,31,188,59,214,0,
Andhra Pradesh,Nellore,2001,46,80,10,207,228,287,0,
Andhra Pradesh,Nizamabad,2001,21,21,19,55,15,228,0,
Andhra Pradesh,Prakasham,2001,19,12,5,140,100,119,0,
Andhra Pradesh,Ranga Reddy,2001,72,83,37,113,55,421,7,
Andhra Pradesh,Secunderabad Rly.,2001,0,0,1,0,1,0,0,
Andhra Pradesh,Srikakulam,2001,8,12,6,38,47,108,0,
Andhra Pradesh,Vijayawada,2001,25,48,2,84,122,520,0,
Andhra Pradesh,Vijayawada Rly.,2001,1,0,0,1,1,0,0,
Andhra Pradesh,Visakha Rural,2001,12,12,3,67,48,99,0,
Andhra Pradesh,Visakhapatnam,2001,13,6,0,33,462,204,0,
Andhra Pradesh,Vizianagaram,2001,8,2,0,40,22,121,0,
Andhra Pradesh,Warangal,2001,53,25,52,241,0,165,0,
Andhra Pradesh,West Godavari,2001,61,21,15,246,56,348,0,
Andhra Pradesh,Total,2001,871,765,420,3544,2271,5791,7,
Arunachal Pradesh,Changlang,2001,1,2,0,3,0,0,0,
Arunachal Pradesh,Dibang Valley,2001,2,4,0,4,0,2,0,
Arunachal Pradesh,Kameng East,2001,2,5,0,5,0,0,0,
Arunachal Pradesh,Kameng West,2001,0,2,0,0,0,0,0,
Arunachal Pradesh,Lohit,2001,2,6,0,8,0,0,0,
Arunachal Pradesh,Papum Pare,2001,9,5,0,6,0,3,0,
Arunachal Pradesh,Siang East,2001,5,7,0,7,0,2,0,
Arunachal Pradesh,Siang Upper,2001,2,5,0,3,0,0,0,
Arunachal Pradesh,Siang West,2001,4,10,0,25,2,2,0,
Arunachal Pradesh,Subansiri Lower,2001,2,5,0,4,0,0,0,
Arunachal Pradesh,Subansiri Upper,2001,2,1,0,8,0,2,0,
Arunachal Pradesh,Tawang,2001,1,0,0,5,1,0,0,
Arunachal Pradesh,Tirap,2001,1,3,0,0,0,0,0,
Assam,Barpeta,2001,28,88,10,29,0,95,0,
Assam,Bongaigaon,2001,20,21,1,22,0,26,0,
Assam,C.I.D.,2001,0,0,0,0,0,0,0,
Assam,Cachar,2001,45,74,7,80,0,216,0,
Assam,Darrang,2001,48,47,9,56,0,37,0,
Assam,Dhemaji,2001,42,20,0,26,0,0,0,
Assam,Dhubri,2001,43,51,5,49,0,111,0,
Assam,Dibrugarh,2001,35,37,3,41,0,19,0,
Assam,G.R.P.,2001,1,0,0,0,0,0,0,
Assam,Goalpara,2001,35,35,1,54,0,64,0,
Assam,Golaghat,2001,30,40,0,23,0,26,0,
Assam,Guwahati City,2001,37,64,5,67,0,98,0,
Assam,Hailakandi,2001,24,34,2,27,0,28,0,
Assam,Jorhat,2001,42,28,2,44,0,48,0,
Assam,Kamrup,2001,21,65,2,42,0,27,0,
Assam,Karbi Anglong,2001,5,15,4,5,0,8,0,
Assam,Karimganj,2001,33,8,1,9,0,30,0,
Assam,Kokrajhar,2001,14,12,0,37,0,20,0,
Assam,Lakhimpur,2001,64,62,0,22,0,93,0,
Assam,Morigaon,2001,23,37,0,6,0,28,0,
Assam,N.C.Hills,2001,2,4,0,2,0,7,0,
Assam,Nagaon,2001,51,109,1,113,4,132,0,
Assam,Nalbari,2001,30,27,3,16,0,15,0,
Assam,R.P.O.,2001,3,0,0,0,0,0,0,
Assam,Sibsagar,2001,47,64,0,28,0,0,0,
Assam,Sonitpur,2001,53,80,1,43,0,99,0,
Assam,Tinsukia,2001,41,48,2,9,0,21,0,
Bihar,Araria,2001,93,13,11,3,0,50,0,
Bihar,Arwal,2001,0,0,7,11,0,14,0,
