State,Population,% of Total Population,Males,Females,Sex Ratio,Literacy Rate (%),Area (km*km),Density (1/km*km),Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
Andhra Pradesh,84580777,6.99,42442146,42138631,993,67.02,275045,308,556,1110,238,9,39,136,7248,15160,1511,17412
Arunachal Pradesh,1383727,0.11,713912,669815,938,65.38,83743,17,1,0,0,0,1,0,0,0,0,0
Assam,31205576,2.58,15939443,15266133,958,72.19,78438,397,57,57,96,14,33,25,341,3,1,318
Bihar,104099452,8.6,54278157,49821295,918,61.8,94163,1102,286,284,127,29,77,309,4524,23425,466,3814
Chandigarh,1055450,0.09,580663,474787,818,86.05,114,9252,0,2,0,0,0,0,0,6,0,4
Chhattisgarh,25545198,2.11,12832895,12712303,991,70.28,135191,189,117,661,43,1,13,17,743,923,24,2672
Delhi,16787941,1.39,8887326,7800615,868,86.21,1484,11297,1,0,0,0,0,0,0,256,6,10
Goa,1458545,0.12,739140,719405,973,88.7,3702,394,0,1,0,0,0,0,1,17,1,13
Gujarat,60439692,4.99,31491260,28948432,919,78.03,196024,308,204,325,301,85,214,115,3271,3971,55,5399
Haryana,25351462,2.09,13494734,11856728,879,75.55,44212,573,128,447,221,1,10,32,524,852,3,1148
Himachal Pradesh,6864602,0.57,3481873,3382729,972,82.8,55673,123,10,93,2,8,6,1,11,629,35,329
Jharkhand,32988134,2.72,16930315,16057819,948,66.41,79714,414,65,129,44,16,2,22,912,2055,19,1507
Karnataka,61095297,5.05,30966657,30128640,973,75.36,191791,319,302,329,70,17,19,20,1939,13773,482,7455
Kerala,33406061,2.76,16027412,17378649,1084,94,38863,859,36,782,23,5,9,21,2023,1092,4,2231
Madhya Pradesh,72626809,6,37612306,35014503,931,69.32,308245,236,1062,4107,510,9,96,446,9993,2855,11,30721
Lakshadweep,64473,0.01,33123,31350,946,91.85,32,2013,0,0,0,0,0,0,0,0,0,0
Maharashtra,112374333,9.28,58243056,54131277,929,82.34,307713,365,243,979,151,122,97,109,766,3210,378,5354
Manipur,2721756,0.21,1290171,1280219,992,79.21,22327,122,0,0,0,0,0,0,0,0,0,0
Meghalaya,2966889,0.25,1491832,1475057,989,74.43,22429,132,0,0,0,0,0,0,0,0,0,0
Mizoram,1097206,0.09,555339,541867,976,91.33,21081,52,0,0,1,0,1,0,0,0,0,0
Nagaland,1978502,0.16,1024649,953853,931,79.55,16579,119,12,6,1,0,0,0,0,0,0,31
Odisha,41974218,3.47,21212136,20762082,979,72.87,155707,269,158,574,135,18,67,170,3281,9711,18,4274
Puducherry,1247953,0.1,612511,635442,1037,85.85,479,2598,4,0,1,0,0,0,5,12,231,7
Punjab,27743338,2.29,14639465,13103873,895,75.84,50362,550,32,115,18,0,1,0,134,705,5,502
Rajasthan,68548437,5.66,35550997,32997440,928,66.11,342239,201,630,1909,365,1,33,481,5984,7939,7,37653
Sikkim,610577,0.05,323070,287507,890,81.42,7096,86,8,17,8,0,4,2,39,3,0,18
Tamil Nadu,72147030,5.96,36137975,36009055,996,80.09,130058,555,352,259,62,5,15,89,2269,10845,500,4227
Tripura,3673917,0.3,1874376,1799541,960,87.22,10486,350,4,15,6,0,1,1,64,8,0,84
Uttar Pradesh,199812341,16.5,104480510,95331831,912,67.68,240928,828,3577,3625,2225,55,214,715,4889,26378,501,34294
Uttarakhand,10086292,0.83,5137773,4948519,963,79.63,53483,189,50,65,27,0,1,4,160,619,0,45
West Bengal,91276115,7.54,46809027,44467088,950,76.26,88752,1030,2,19,1,0,0,1,26,111,1,148
Andaman and Nicobar Islands,380581,0.03,202871,177710,876,86.63,8249,46,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,343709,0.03,193760,149949,774,76.24,491,698,0,0,2,0,0,0,0,0,0,5
Daman and Diu,243247,0.02,150301,92946,618,87.1,112,2169,0,0,0,0,0,0,0,0,0,5
Jammu and Kashmir,12541302,1.04,6640662,5900640,889,67.16,222236,56,3,7,0,0,0,1,7,1,11,12
